Date,Close,High,Low,Open,Volume,return_1d,MA_10,MA_50,volatility,volume_change,RSI,target
2008-05-29,18.772974014282227,19.14733176834334,18.279702205618378,18.37219035472872,100613200.0,0.04064914031380451,17.86130142211914,16.158101749420165,0.02765558664370182,0.8985055475884973,63.270447840862964,1
2008-05-30,19.01740837097168,19.281660708249987,18.89629173634181,18.942535811361747,72016000.0,0.013020545199897038,17.951808738708497,16.28961170196533,0.027759907286552674,-0.2842291071151698,64.95372666662536,0
2008-06-02,18.95354461669922,19.147329527404096,18.62983445262361,18.984373996127832,36856000.0,-0.0033581733655119184,18.033286094665527,16.38527132034302,0.027874272461363637,-0.4882248389246834,64.12681902574431,1
2008-06-03,19.28165435791016,19.36753642324444,18.94473215081798,19.160539443244414,48411600.0,0.017311260128190398,18.12665500640869,16.50784055709839,0.02808950111035258,0.31353375298458874,66.48735691244536,0
2008-06-04,18.82362365722656,19.400574992426854,18.779580480444785,19.17596067110373,40684400.0,-0.0237547407593528,18.186993026733397,16.605746345520018,0.029378470272079217,-0.1596146378140776,60.502239369348366,1
2008-06-05,19.211196899414062,19.211196899414062,18.847848607642067,19.039432680050208,27059600.0,0.020589725402776482,18.327708053588868,16.708276596069336,0.028213871959178384,-0.3348900315600083,63.49664275257531,0
2008-06-06,18.420637130737305,18.93592969070459,18.398616382718046,18.91611152150987,41748000.0,-0.04115098985325949,18.46732120513916,16.799620056152342,0.02768418218345052,0.5428165974367691,54.431874084677844,0
2008-06-09,18.08812141418457,18.706913444755383,17.740187823155683,18.49771378234249,45240000.0,-0.018051260344186915,18.594824028015136,16.884973812103272,0.02820406905722493,0.08364472549583213,51.12583111317156,0
2008-06-10,17.685134887695312,18.2488758718703,17.53098794675429,17.682933988593046,36048400.0,-0.02227907018432762,18.629397201538087,16.964029560089113,0.02831007979616682,-0.2031741821396994,47.37067647744872,0
2008-06-11,17.119182586669922,17.83707007492097,17.088353217242695,17.83707007492097,56996400.0,-0.032001582380870586,18.5373477935791,17.03506940841675,0.02670920040905959,0.5811076219749005,42.63455172963007,1
2008-06-12,17.519975662231445,17.786430603933407,17.29756390102292,17.385646901858685,44605600.0,0.023411928316811492,18.412047958374025,17.11099811553955,0.023845509112534503,-0.21739618642580938,46.69875971018935,1
2008-06-13,17.95378303527832,18.01544177940816,17.649892790606348,17.674116108668038,30689200.0,0.024760729204781562,18.305685424804686,17.18159767150879,0.025172377099719253,-0.31198773248202016,50.764721856841675,1
2008-06-16,18.336950302124023,18.387599519074172,17.859093328618744,17.942774497486397,34384000.0,0.021341867955783966,18.24402599334717,17.264352798461914,0.02657351627371836,0.1203941451715913,54.09558385465936,1
2008-06-17,18.64525604248047,18.713522562257705,18.427247727248663,18.51973589976206,33277600.0,0.016813359652326332,18.1803861618042,17.35080764770508,0.026531701705771654,-0.03217775709632387,56.637562091869434,0
2008-06-18,18.466886520385746,18.65186287307433,18.374398344041445,18.436057128270978,33724000.0,-0.009566482846271152,18.144712448120117,17.420262393951415,0.025665622635643346,0.01341442892516298,54.74863844138084,1
