Date,Close,High,Low,Open,Volume,return_1d,MA_10,MA_50,volatility,volume_change,RSI,target
2005-03-15,4.433080673217773,4.467580801887728,4.323873459892484,4.350926857568098,416467116.0,0.020687129278336824,4.529207611083985,4.752050552368164,0.014609609465935387,-0.06499739830979845,39.10594709523676,0
2005-03-16,4.358372211456299,4.433080715611349,4.34372940139332,4.3856748426734615,283967748.0,-0.01685249316864945,4.505430221557617,4.73859320640564,0.015170720753767863,-0.31815085251532804,36.31792706818585,1
2005-03-17,4.449958801269531,4.458645079095698,4.363336743616215,4.396348099026574,330093576.0,0.021013944052894473,4.486269330978393,4.731043033599853,0.016728318639482844,0.16243333380240066,41.796286843843404,1
2005-03-18,4.468573093414307,4.477508129394681,4.42563403361427,4.438044147368624,283316400.0,0.004183025725870815,4.471724891662598,4.724356555938721,0.01690874789821622,-0.14170883470934315,42.87196406482867,1
2005-03-21,4.489421844482422,4.521439097412292,4.399325673080492,4.449461286084161,299048652.0,0.004665639485419204,4.452042722702027,4.720549201965332,0.015882755281009985,0.0555289139633286,44.117693719701066,0
2005-03-22,4.43283224105835,4.51573092511638,4.414218249764935,4.49686770052406,225042732.0,-0.012605098247477464,4.4356616020202635,4.712979154586792,0.015325157312019581,-0.24747117067760604,41.47411110881969,1
2005-03-23,4.442263126373291,4.4735364582613455,4.417195087144863,4.417195087144863,193606200.0,0.0021275078329356933,4.4297792434692385,4.7049970626831055,0.014121611184129272,-0.13969138981124707,42.096817064206434,1
2005-03-24,4.448964595794678,4.488924203051307,4.447723158899175,4.4849530237707205,148059792.0,0.0015085710212887626,4.427967357635498,4.6979035377502445,0.013960176226333764,-0.23525283797729624,42.56446383558758,1
2005-03-28,4.502823829650879,4.586715647123226,4.491158105579406,4.509277410170574,349170480.0,0.012106015387740143,4.436952209472656,4.690973825454712,0.01378650292351804,1.3583072438734751,46.31701783700799,0
2005-03-29,4.456907749176025,4.548989751188222,4.419677404736685,4.493641045840183,258661080.0,-0.010197174531345943,4.448319816589356,4.683150606155396,0.013072833606054941,-0.25921263447013043,43.695958448601885,1
2005-03-30,4.478748321533203,4.503568071835664,4.457650516980258,4.483464362576936,249194556.0,0.004900386901931064,4.452886581420898,4.673460922241211,0.011514858320700726,-0.03659817704310209,45.282127123082425,1
2005-03-31,4.480238437652588,4.502079692020727,4.409005009433593,4.416699555231173,270473256.0,0.0003327081613897498,4.465073204040527,4.661850185394287,0.009675890492971696,0.08538990715350936,45.39515400997377,0
2005-04-01,4.468573093414307,4.540798243463889,4.46733118347494,4.5112633928837615,247032720.0,-0.0026037329040892176,4.466934633255005,4.653282384872437,0.0073367160657853,-0.08666489377419262,44.618144744413506,1
2005-04-04,4.598877429962158,4.599622292212528,4.463609499438249,4.466338769309285,322732944.0,0.029160166752087324,4.47996506690979,4.648998470306396,0.011703795397701265,0.30643804593982527,54.0743701993105,1
2005-04-05,4.680285930633545,4.72223136632459,4.6554661769832935,4.659437356484468,349118532.0,0.017701820044387695,4.499051475524903,4.649142398834228,0.012608470706685748,0.08175672329255601,58.80667526722338,1
2005-04-06,4.6964192390441895,4.707091814200215,4.655714291834587,4.696915813862013,209893896.0,0.0034470775182875446,4.525410175323486,4.653361778259278,0.011164257888742295,-0.3987890164478579,59.693087036279145,1
2005-04-07,4.809101104736328,4.830445780260117,4.682023363572564,4.685497968209377,387300312.0,0.023993144554758983,4.56209397315979,4.661621837615967,0.01242463885720855,0.8452195103377376,65.30811410053414,0
2005-04-08,4.766659736633301,4.842359970094624,4.751767693604672,4.8073642128450285,204459336.0,-0.008825218513544675,4.593863487243652,4.663016700744629,0.01341780213413688,-0.4720909597408225,61.815202139416705,1
2005-04-11,4.795947074890137,4.834914006837654,4.773360489504111,4.792471524396996,216203580.0,0.0061442057698712915,4.623175811767578,4.665573148727417,0.013297708725891817,0.05744048782394562,63.274886176205506,1
