Date,Close,High,Low,Open,Volume
,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
2005-01-03,5.0312395095825195,5.054321724679223,4.851294520044957,4.899445722332966,633134232
2005-01-04,4.827467441558838,5.036699466393606,4.802152058691549,4.998725209771741,549685764
2005-01-05,4.8028974533081055,4.887035676510727,4.771128013415468,4.80140772876866,329134536
2005-01-06,4.6797895431518555,4.862215520114434,4.659189728499551,4.841863992864959,415068516
2005-01-07,4.811335563659668,4.821263750340815,4.685498765102066,4.731664147423168,386129484
2005-01-10,4.841366767883301,4.916819178663141,4.761199261264251,4.827467403117566,301282416
2005-01-11,4.803640365600586,4.907140267086614,4.794705329850935,4.855265699717335,278069652
2005-01-12,4.849308967590332,4.862960044513825,4.728188232834681,4.823248250671258,326784888
2005-01-13,4.848068714141846,4.899198424716486,4.816299274411545,4.8493096783232845,273702024
2005-01-14,4.96323299407959,4.964226143779668,4.818285159995309,4.864698355978967,385226388
2005-01-18,5.060775279998779,5.088573536691424,4.930718086383644,4.98805261153071,526377096
2005-01-19,4.896963596343994,5.095523530719956,4.88232078723948,5.0793895783719,449857692
2005-01-20,4.813072681427002,4.870902838588332,4.765418524557135,4.777828165661749,359703936
2005-01-21,4.673088550567627,4.848813129653028,4.669117370967232,4.828460656852859,369965664
2005-01-24,4.4854512214660645,4.699150095269952,4.4755235071834365,4.683265374074977,560347092
2005-01-25,4.396099090576172,4.523177809901854,4.375499271977451,4.515731078103895,425941632
2005-01-26,4.696916103363037,4.701135570789417,4.4464830028740145,4.449461506107745,491823684
2005-01-27,4.668124675750732,4.687483525949217,4.5966434432276415,4.6850020707532565,264830904
2005-01-28,4.724217414855957,4.832431943123341,4.624937922654598,4.716275055479849,487839672
2005-01-31,4.855266571044922,4.873634166488795,4.758469938945566,4.8073645934117,383484132
2005-02-01,4.762936115264893,4.88107883053489,4.731415910670099,4.824489637580768,752806440
2005-02-02,5.111903667449951,5.380951204003718,5.054818847351195,5.349926629352307,1310660028
2005-02-03,5.233521938323975,5.2958203266160995,5.108181245329644,5.112649000145939,519004476
2005-02-04,5.0721917152404785,5.156331346579327,5.028508740916794,5.124561910707556,592179228
2005-02-07,4.865442752838135,5.122824566919358,4.852536537255979,5.094530680527506,517897584
2005-02-08,4.930222511291504,4.964474348902739,4.828212333577928,4.888524889332995,458740800
2005-02-09,4.754993915557861,5.003689468465291,4.702375900568253,4.982840892401999,686173140
2005-02-10,4.665642261505127,4.770630469266663,4.597884394288518,4.764673463442394,758548692
2005-02-11,4.651247978210449,4.773361414052222,4.6182366266644905,4.632880856065089,524115360
2005-02-14,4.789989948272705,4.792223588844799,4.492399787360167,4.538316400348642,1540945512
2005-02-15,4.845586776733398,4.960006122108921,4.792223903454099,4.805130118828691,1030280688
2005-02-16,4.924514293670654,4.947348223829091,4.82250410558307,4.832432291984132,660630708
2005-02-17,4.911856174468994,4.957773270710669,4.884802775354671,4.910119581196709,416159424
2005-02-18,4.913097381591797,4.935186922649448,4.8810791810975545,4.926996748117539,339096564
2005-02-22,4.749782562255859,4.936675842939389,4.725459379530807,4.877108140967153,538808652
2005-02-23,4.813817501068115,4.826972004279681,4.682519810501249,4.797684021918039,622816560
2005-02-24,4.688228607177734,4.712055685798633,4.5229278354329,4.551223141571766,1031539428
2005-02-25,4.613272190093994,4.7137931191445155,4.604337154043411,4.694681137094223,398541060
2005-02-28,4.665890693664551,4.712553123918064,4.612776573651357,4.6164999392486274,312423264
2005-03-01,4.617988586425781,4.709573540598236,4.51722030809376,4.698157048415111,372075552
2005-03-02,4.596147060394287,4.65794840383011,4.5757955305876346,4.615258098887695,291128580
2005-03-03,4.641567230224609,4.659933403155625,4.574552808427319,4.619725506762629,304039656
2005-03-04,4.614017009735107,4.647523985776129,4.593416249306782,4.633872907957864,270693036
2005-03-07,4.686243534088135,4.705851146702103,4.642063506225818,4.660678914998394,346349304
2005-03-08,4.596642971038818,4.7120549816067525,4.590934253182241,4.693440049658054,321522156
2005-03-09,4.501086711883545,4.582992710797585,4.471551859565091,4.572071847885258,453961584
2005-03-10,4.4670844078063965,4.497365073491549,4.4030484707824895,4.492649030538273,437981580
2005-03-11,4.412975788116455,4.491158419791328,4.396843254473654,4.478500964045083,320810868
2005-03-14,4.343232154846191,4.4278678958110715,4.283168828145051,4.426130829765598,445418136
2005-03-15,4.433081150054932,4.4675812824358365,4.323873924982944,4.350927325568514,416467116
2005-03-16,4.358371734619141,4.433080230600545,4.343728926158191,4.3856743628492,283967748
2005-03-17,4.449957847595215,4.458644123559818,4.363335808505942,4.396347156841611,330093576
2005-03-18,4.468574523925781,4.477509562766503,4.4256354503797875,4.438045568106954,283316400
2005-03-21,4.489422798156738,4.521440057887936,4.399326607615951,4.449462231269777,299048652
2005-03-22,4.432831287384033,4.515729953607338,4.414217300095211,4.49686673307323,225042732
2005-03-23,4.442263603210449,4.473536938455416,4.417195561291192,4.417195561291192,193606200
2005-03-24,4.448965549468994,4.488925165291314,4.4477241123073785,4.48495398515947,148059792
2005-03-28,4.502823829650879,4.586715647123226,4.491158105579406,4.509277410170574,349170480
2005-03-29,4.456908226013184,4.548990237877081,4.4196778775906305,4.493641526607375,258661080
2005-03-30,4.478748798370361,4.503568551315298,4.457650991571205,4.483464839916195,249194556
2005-03-31,4.48023796081543,4.502079212858978,4.409004540177895,4.416699085156535,270473256
2005-04-01,4.468574523925781,4.540799697096594,4.467332613588845,4.511264837061559,247032720
2005-04-04,4.598877429962158,4.599622292212528,4.463609499438249,4.466338769309285,322732944
2005-04-05,4.680286407470703,4.722231847435236,4.655466651291764,4.659437831197531,349118532
2005-04-06,4.696419715881348,4.707092292120982,4.655714764538888,4.69691629074959,209893896
2005-04-07,4.809101581573486,4.830446259213666,4.682023827809574,4.685498432790904,387300312
2005-04-08,4.766659736633301,4.842359970094624,4.7517676936046715,4.8073642128450285,204459336
2005-04-11,4.795948028564453,4.834914968260548,4.773361438687084,4.792472477380199,216203580
2005-04-12,4.814066410064697,4.8254829029113315,4.7011358248597315,4.790239328763987,292491216
2005-04-13,4.788501262664795,4.8230013928952795,4.709078132153796,4.801904527789705,261969768
2005-04-14,4.751767635345459,4.823993735745307,4.718260657173961,4.796940338718881,245861892
2005-04-15,4.591679573059082,4.724217277481522,4.583240166190838,4.718260271658467,462632904
2005-04-18,4.640573978424072,4.663160563558282,4.55420118189564,4.581254575308764,261749988
2005-04-19,4.750527381896973,4.765418952559986,4.666883366597712,4.699149855152887,336862800
2005-04-20,4.9168195724487305,4.9763882157972175,4.8624649647863665,4.928733111947065,617441940
2005-04-21,5.068718433380127,5.088077286334035,4.947100627478577,4.974402786589075,709365924
2005-04-22,5.356380462646484,5.5596554943492995,5.317909628838775,5.532352864760225,1326875796
2005-04-25,5.547990322113037,5.578022224502994,5.398822068193067,5.406268799556368,792806400
2005-04-26,5.429350852966309,5.510015891470265,5.417933887618647,5.465836335864343,690189120
2005-04-27,5.454915523529053,5.48147282004129,5.379463101528307,5.4104876800787345,410181408
2005-04-28,5.446724891662598,5.512001306954874,5.403537543133513,5.447965382854921,346964688
2005-04-29,5.460377216339111,5.516221560375834,5.4062694657823664,5.507782151157365,366441192
2005-05-02,5.517213344573975,5.552209102618143,5.465588004107212,5.5112568109843325,390305304
2005-05-03,5.614009857177734,5.66265668929931,5.493137875539083,5.506292378474654,710496792
2005-05-04,5.671344757080078,5.7055966002324405,5.634115829320962,5.63982360281086,482856660
2005-05-05,5.63361930847168,5.674323791233585,5.606318092227977,5.674323791233585,300083616
2005-05-06,5.659430980682373,5.689959929787064,5.620960144410314,5.668863065340623,270285444
2005-05-09,5.609790802001953,5.671343848988504,5.5951465748236435,5.658934681317532,221250528
2005-05-10,5.6539716720581055,5.6539716720581055,5.577526099043828,5.59614056273135,253578168
2005-05-11,5.740591049194336,5.757716730396293,5.6571967566827865,5.6830091857119145,458692848
2005-05-12,5.67680549621582,5.763923643857185,5.6638992791313365,5.728678651983928,357570072
2005-05-13,5.689711570739746,5.735628191675472,5.6420578836932265,5.688222319124476,296323380
2005-05-16,5.734634876251221,5.7487820556281015,5.673081829602857,5.700631799096098,227028744
2005-05-17,5.78626012802124,5.794202487019359,5.713537933002733,5.722473441571893,312043644
2005-05-18,5.935924530029297,5.956028716763466,5.795940558065203,5.798174198948418,491987520
2005-05-19,5.936420440673828,5.985812136427708,5.9138347992969535,5.9652123213829205,388271340
2005-05-20,5.99673318862915,5.998222913121637,5.948086353559096,5.986805002511444,326213460
2005-05-23,6.340241432189941,6.406013955793828,6.024035798166275,6.035204476343009,854676468
2005-05-24,6.353891849517822,6.588192435251065,6.291842688798495,6.377718931539142,1160562276
2005-05-25,6.473275661468506,6.477495129016836,6.220608912715915,6.272731302027337,721593684
2005-05-26,6.433315277099609,6.5464950958701955,6.410977920371201,6.476999205445779,541322136
